Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,lat,lon
Hubei,Mainland China,2/1/2020 23:33,9074,294,215,31.1517252,112.8783222
Zhejiang,Mainland China,2/2/2020 2:13,661,0,23,29.0000001,119.9999999
Guangdong,Mainland China,2/2/2020 1:23,604,0,14,23.1357694,113.1982688
Henan,Mainland China,2/2/2020 0:53,493,2,4,34.0000001,113.9999999
Hunan,Mainland China,2/2/2020 1:53,463,0,8,27.6662087,111.7487063
Anhui,Mainland China,2/2/2020 1:33,340,0,5,32,117
Jiangxi,Mainland China,2/2/2020 1:23,333,0,10,28,116
Chongqing,Mainland China,2/1/2020 23:43,262,1,3,29.5585712,106.5492822
Jiangsu,Mainland China,2/2/2020 1:13,236,0,6,33.0000001,119.9999999
Sichuan,Mainland China,2/2/2020 1:03,231,1,3,30.5000001,102.4999999
Shandong,Mainland China,2/2/2020 1:03,225,0,5,36.0000001,118.9999999
Beijing,Mainland China,2/2/2020 3:05,183,1,9,39.906217,116.3912757
Shanghai,Mainland China,2/2/2020 0:23,177,1,10,31.2252985,121.4890497
Fujian,Mainland China,2/2/2020 3:43,159,0,0,26.5450001,117.842778
Shaanxi,Mainland China,2/2/2020 3:23,116,0,0,36,109
Guangxi,Mainland China,2/2/2020 0:23,111,0,2,24,109
Hebei,Mainland China,2/2/2020 2:53,104,1,3,39.0000001,116
Heilongjiang,Mainland China,2/2/2020 3:23,95,2,2,48.0000047,127.999992
Yunnan,Mainland China,2/1/2020 15:53,93,0,2,25,102
Liaoning,Mainland China,2/1/2020 15:23,64,0,1,40.9739116,122.3263915
Hainan,Mainland China,2/2/2020 1:03,63,1,1,19.2000001,109.5999999
Shanxi,Mainland China,2/1/2020 23:33,56,0,1,37,112
Tianjin,Mainland China,2/2/2020 2:03,45,0,0,39.1235635,117.1980785
Gansu,Mainland China,2/1/2020 15:43,40,0,0,38.0000001,101.9999999
Guizhou,Mainland China,2/2/2020 1:03,38,0,2,27,107
Ningxia,Mainland China,2/2/2020 1:43,28,0,0,37.3095528,105.9608553
Inner Mongolia,Mainland China,2/2/2020 3:43,27,0,1,43.2443242,114.3251664
Jilin,Mainland China,2/2/2020 2:33,23,0,1,42.9995032,125.9816054
Xinjiang,Mainland China,2/2/2020 0:43,21,0,0,41.7574769,87.1673842
,Japan,2/1/2020 18:53,20,0,1,36.5748441,139.2394179
,Thailand,1/31/2020 10:37,19,0,5,14.8971921,100.83273
,Singapore,2/2/2020 1:03,18,0,0,1.340863,103.8303918
,South Korea,2/2/2020 2:23,15,0,0,36.5581914,127.9408564
Hong Kong,Hong Kong,2/2/2020 1:03,14,0,0,22.2793278,114.1628131
Taiwan,Taiwan,1/31/2020 15:20,10,0,0,23.9739374,120.9820179
Qinghai,Mainland China,2/1/2020 5:37,9,0,0,35.4070952,95.9521157
,Germany,2/1/2020 23:33,8,0,0,51.0834196,10.4234469
,Malaysia,1/31/2020 8:15,8,0,0,4.5693754,102.2656823
Macau,Macau,1/31/2020 8:15,7,0,0,-5.1133665,-36.6349957
,France,2/1/2020 1:52,6,0,0,46.603354,1.8883335
,Vietnam,2/1/2020 7:38,6,0,1,13.2904027,108.4265113
New South Wales,Australia,2/1/2020 18:12,4,0,2,-31.8759835,147.2869493
Victoria,Australia,2/1/2020 18:12,4,0,0,-36.5986096,144.6780052
,United Arab Emirates,1/31/2020 8:15,4,0,0,24.0002488,53.9994829
Queensland,Australia,2/1/2020 18:12,3,0,0,-22.1646782,144.5844903
Ontario,Canada,2/1/2020 18:12,3,0,0,50.000678,-86.000977
,Italy,1/31/2020 8:15,2,0,0,42.6384261,12.674297
,Philippines,2/2/2020 3:33,2,1,0,12.7503486,122.7312101
,Russia,1/31/2020 16:13,2,0,0,64.6863136,97.7453061
,UK,2/1/2020 1:52,2,0,0,54.7023545,-3.2765753
"Chicago, IL",US,2/1/2020 19:43,2,0,0,41.8755616,-87.6244212
South Australia,Australia,2/1/2020 18:12,1,0,0,-30.5343665,135.6301212
,Cambodia,1/31/2020 8:15,1,0,0,13.5066394,104.869423
British Columbia,Canada,2/1/2020 18:12,1,0,0,55.001251,-125.002441
,Finland,1/31/2020 8:15,1,0,0,63.2467777,25.9209164
,India,1/31/2020 8:15,1,0,0,22.3511148,78.6677428
Tibet,Mainland China,2/1/2020 1:52,1,0,0,31.8943432,87.0781371
,Nepal,1/31/2020 8:15,1,0,0,28.1083929,84.0917139
,Spain,2/1/2020 23:43,1,0,0,39.3262345,-4.8380649
,Sri Lanka,1/31/2020 8:15,1,0,0,7.5554942,80.7137847
,Sweden,2/1/2020 2:13,1,0,0,59.6749712,14.5208584
"Boston, MA",US,2/1/2020 19:43,1,0,0,42.3602534,-71.0582912
"Los Angeles, CA",US,2/1/2020 19:53,1,0,0,34.0536909,-118.2427666
"Orange, CA",US,2/1/2020 19:53,1,0,0,33.7500378,-117.8704931
"Santa Clara, CA",US,2/1/2020 19:53,1,0,0,37.2333253,-121.6846349
"Seattle, WA",US,2/1/2020 19:43,1,0,0,47.6038321,-122.3300624
"Tempe, AZ",US,2/1/2020 19:43,1,0,0,33.4255056,-111.9400125
